main_word,language,local_word,Word_ID,matrix_bits
they,Turkish,onlar,10,000000000100000000000000
they,Urdu,وہ,10,000000000100000000000000
they,Vietnamese,họ,10,000000000100000000000000
they,English,they,10,000000000100000000000000
communicate,Arabic,يتواصل,11,000000000010000000000000
communicate,Chinese,沟通,11,000000000010000000000000
communicate,French,communiquer,11,000000000010000000000000
communicate,German,kommunizieren,11,000000000010000000000000
communicate,Hindi,संचार करना,11,000000000010000000000000
communicate,Indonesian,berkomunikasi,11,000000000010000000000000
communicate,Italian,comunicare,11,000000000010000000000000
communicate,Japanese,通信する,11,000000000010000000000000
communicate,Korean,의사소통하다,11,000000000010000000000000
communicate,Portuguese,comunicar,11,000000000010000000000000
communicate,Russian,общаться,11,000000000010000000000000
communicate,Spanish,comunicarse,11,000000000010000000000000
communicate,Swahili,kuwasiliana,11,000000000010000000000000
communicate,Turkish,iletişim kurmak,11,000000000010000000000000
communicate,Urdu,بات چیت کرنا,11,000000000010000000000000
communicate,Vietnamese,giao tiếp,11,000000000010000000000000
communicate,English,communicate,11,000000000010000000000000
food,Arabic,طعام,12,000000000001000000000000
food,Chinese,食物,12,000000000001000000000000
food,French,nourriture,12,000000000001000000000000
food,German,Essen,12,000000000001000000000000
food,Hindi,भोजन,12,000000000001000000000000
food,Indonesian,makanan,12,000000000001000000000000
food,Italian,cibo,12,000000000001000000000000
food,Japanese,食べ物,12,000000000001000000000000
food,Korean,음식,12,000000000001000000000000
food,Portuguese,comida,12,000000000001000000000000
food,Russian,еда,12,000000000001000000000000
food,Spanish,comida,12,000000000001000000000000
food,Swahili,chakula,12,000000000001000000000000
food,Turkish,yiyecek,12,000000000001000000000000
food,Urdu,کھانا,12,000000000001000000000000
food,Vietnamese,thức ăn,12,000000000001000000000000
food,English,food,12,000000000001000000000000
astronaut,Arabic,رائد فضاء,13,000000000000100000000000
astronaut,Chinese,宇航员,13,000000000000100000000000
astronaut,French,astronaute,13,000000000000100000000000
astronaut,German,Astronaut,13,000000000000100000000000
astronaut,Hindi,अंतरिक्ष यात्री,13,000000000000100000000000
astronaut,Indonesian,astronot,13,000000000000100000000000
astronaut,Italian,astronauta,13,000000000000100000000000
astronaut,Japanese,宇宙飛行士,13,000000000000100000000000
astronaut,Korean,우주비행사,13,000000000000100000000000
astronaut,Portuguese,astronauta,13,000000000000100000000000
astronaut,Russian,астронавт,13,000000000000100000000000
astronaut,Spanish,astronauta,13,000000000000100000000000
astronaut,Swahili,mwanaanga,13,000000000000100000000000
astronaut,Turkish,astronot,13,000000000000100000000000
astronaut,Urdu,خلاباز,13,000000000000100000000000
astronaut,Vietnamese,phi hành gia,13,000000000000100000000000
astronaut,English,astronaut,13,000000000000100000000000
float,Arabic,يطفو,14,000000000000010000000000
float,Chinese,漂浮,14,000000000000010000000000
float,French,flotter,14,000000000000010000000000
float,German,schweben,14,000000000000010000000000
float,Hindi,तैरना,14,000000000000010000000000
float,Indonesian,mengapung,14,000000000000010000000000
float,Italian,galleggiare,14,000000000000010000000000
float,Japanese,浮かぶ,14,000000000000010000000000
float,Korean,뜨다,14,000000000000010000000000
float,Portuguese,flutuar,14,000000000000010000000000
float,Russian,плавать,14,000000000000010000000000
float,Spanish,flotar,14,000000000000010000000000
float,Swahili,kuelea,14,000000000000010000000000
float,Turkish,yüzmek,14,000000000000010000000000
float,Urdu,تیرنا,14,000000000000010000000000
float,Vietnamese,nổi,14,000000000000010000000000
float,English,float,14,000000000000010000000000
data,Arabic,بيانات,15,000000000000001000000000
data,Chinese,数据,15,000000000000001000000000
data,French,données,15,000000000000001000000000
data,German,Daten,15,000000000000001000000000
data,Hindi,डेटा,15,000000000000001000000000
data,Indonesian,data,15,000000000000001000000000
data,Italian,dati,15,000000000000001000000000
data,Japanese,データ,15,000000000000001000000000
data,Korean,데이터,15,000000000000001000000000
data,Portuguese,dados,15,000000000000001000000000
data,Russian,данные,15,000000000000001000000000
data,Spanish,datos,15,000000000000001000000000
data,Swahili,data,15,000000000000001000000000
data,Turkish,veri,15,000000000000001000000000
data,Urdu,ڈیٹا,15,000000000000001000000000
data,Vietnamese,dữ liệu,15,000000000000001000000000
data,English,data,15,000000000000001000000000
robot,Arabic,روبوت,16,000000000000000100000000
robot,Chinese,机器人,16,000000000000000100000000
robot,French,robot,16,000000000000000100000000
robot,German,Roboter,16,000000000000000100000000
robot,Hindi,रोबोट,16,000000000000000100000000
robot,Indonesian,robot,16,000000000000000100000000
robot,Italian,robot,16,000000000000000100000000
robot,Japanese,ロボット,16,000000000000000100000000
robot,Korean,로봇,16,000000000000000100000000
robot,Portuguese,robô,16,000000000000000100000000
robot,Russian,робот,16,000000000000000100000000
robot,Spanish,robot,16,000000000000000100000000
robot,Swahili,roboti,16,000000000000000100000000
robot,Turkish,robot,16,000000000000000100000000
robot,Urdu,روبوٹ,16,000000000000000100000000
robot,Vietnamese,người máy,16,000000000000000100000000
robot,English,robot,16,000000000000000100000000
dream,Arabic,حلم,17,000000000000000010000000
dream,Chinese,梦想,17,000000000000000010000000
dream,French,rêve,17,000000000000000010000000
dream,German,Traum,17,000000000000000010000000
dream,Hindi,सपना,17,000000000000000010000000
dream,Indonesian,mimpi,17,000000000000000010000000
dream,Italian,sogno,17,000000000000000010000000
dream,Japanese,夢,17,000000000000000010000000
dream,Korean,꿈,17,000000000000000010000000
dream,Portuguese,sonho,17,000000000000000010000000
dream,Russian,сон,17,000000000000000010000000
dream,Spanish,sueño,17,000000000000000010000000
dream,Swahili,ndoto,17,000000000000000010000000
dream,Turkish,rüya,17,000000000000000010000000
dream,Urdu,خواب,17,000000000000000010000000
dream,Vietnamese,giấc mơ,17,000000000000000010000000
dream,English,dream,17,000000000000000010000000
star,Arabic,نجم,18,000000000000000001000000
star,Chinese,星星,18,000000000000000001000000
star,French,étoile,18,000000000000000001000000
star,German,Stern,18,000000000000000001000000
star,Hindi,तारा,18,000000000000000001000000
star,Indonesian,bintang,18,000000000000000001000000
star,Italian,stella,18,000000000000000001000000
star,Japanese,星,18,000000000000000001000000
star,Korean,별,18,000000000000000001000000
star,Portuguese,estrela,18,000000000000000001000000
star,Russian,звезда,18,000000000000000001000000
star,Spanish,estrella,18,000000000000000001000000
star,Swahili,nyota,18,000000000000000001000000
star,Turkish,yıldız,18,000000000000000001000000
star,Urdu,ستارہ,18,000000000000000001000000
star,Vietnamese,ngôi sao,18,000000000000000001000000
star,English,star,18,000000000000000001000000
earthling,Arabic,إنسان أرضي,19,000000000000000000100000
earthling,Chinese,地球人,19,000000000000000000100000
earthling,French,terrestre,19,000000000000000000100000
earthling,German,Erdling,19,000000000000000000100000
earthling,Hindi,पृथ्वीवासी,19,000000000000000000100000
earthling,Indonesian,manusia bumi,19,000000000000000000100000
earthling,Italian,terrestre,19,000000000000000000100000
earthling,Japanese,地球人,19,000000000000000000100000
earthling,Korean,지구인,19,000000000000000000100000
earthling,Portuguese,terrestre,19,000000000000000000100000
earthling,Russian,землянин,19,000000000000000000100000
earthling,Spanish,terrestre,19,000000000000000000100000
earthling,Swahili,mwanadamu wa dunia,19,000000000000000000100000
earthling,Turkish,dünyalı,19,000000000000000000100000
earthling,Urdu,اہل زمین,19,000000000000000000100000
earthling,Vietnamese,người Trái Đất,19,000000000000000000100000
earthling,English,earthling,19,000000000000000000100000
share,Arabic,يشارك,20,000000000000000000010000
share,Chinese,分享,20,000000000000000000010000
share,French,partager,20,000000000000000000010000
share,German,teilen,20,000000000000000000010000
share,Hindi,साझा करना,20,000000000000000000010000
share,Indonesian,berbagi,20,000000000000000000010000
share,Italian,condividere,20,000000000000000000010000
share,Japanese,共有する,20,000000000000000000010000
share,Korean,공유하다,20,000000000000000000010000
share,Portuguese,compartilhar,20,000000000000000000010000
share,Russian,делиться,20,000000000000000000010000
share,Spanish,compartir,20,000000000000000000010000
share,Swahili,shiriki,20,000000000000000000010000
share,Turkish,paylaşmak,20,000000000000000000010000
share,Urdu,بانٹنا,20,000000000000000000010000
share,Vietnamese,chia sẻ,20,000000000000000000010000
share,English,share,20,000000000000000000010000
story,Arabic,قصة,21,000000000000000000001000
story,Chinese,故事,21,000000000000000000001000
story,French,histoire,21,000000000000000000001000
story,German,Geschichte,21,000000000000000000001000
story,Hindi,कहानी,21,000000000000000000001000
story,Indonesian,cerita,21,000000000000000000001000
story,Italian,storia,21,000000000000000000001000
story,Japanese,物語,21,000000000000000000001000
story,Korean,이야기,21,000000000000000000001000
story,Portuguese,história,21,000000000000000000001000
story,Russian,история,21,000000000000000000001000
story,Spanish,historia,21,000000000000000000001000
story,Swahili,hadithi,21,000000000000000000001000
story,Turkish,hikaye,21,000000000000000000001000
story,Urdu,کہانی,21,000000000000000000001000
story,Vietnamese,câu chuyện,21,000000000000000000001000
story,English,story,21,000000000000000000001000
commander,Arabic,قائد,22,000000000000000000000100
commander,Chinese,指挥官,22,000000000000000000000100
commander,French,commandant,22,000000000000000000000100
commander,German,Kommandant,22,000000000000000000000100
commander,Hindi,कमांडर,22,000000000000000000000100
commander,Indonesian,komandan,22,000000000000000000000100
commander,Italian,comandante,22,000000000000000000000100
commander,Japanese,司令官,22,000000000000000000000100
commander,Korean,지휘관,22,000000000000000000000100
commander,Portuguese,comandante,22,000000000000000000000100
commander,Russian,командир,22,000000000000000000000100
commander,Spanish,comandante,22,000000000000000000000100
commander,Swahili,kamanda,22,000000000000000000000100
commander,Turkish,komutan,22,000000000000000000000100
commander,Urdu,کمانڈر,22,000000000000000000000100
commander,Vietnamese,chỉ huy,22,000000000000000000000100
commander,English,commander,22,000000000000000000000100
explore,Arabic,يستكشف,23,000000000000000000000010
explore,Chinese,探索,23,000000000000000000000010
explore,French,explorer,23,000000000000000000000010
explore,German,erkunden,23,000000000000000000000010
explore,Hindi,पता लगाना,23,000000000000000000000010
explore,Indonesian,menjelajah,23,000000000000000000000010
explore,Italian,esplorare,23,000000000000000000000010
explore,Japanese,探検する,23,000000000000000000000010
explore,Korean,탐험하다,23,000000000000000000000010
explore,Portuguese,explorar,23,000000000000000000000010
explore,Russian,исследовать,23,000000000000000000000010
explore,Spanish,explorar,23,000000000000000000000010
explore,Swahili,chunguza,23,000000000000000000000010
explore,Turkish,keşfetmek,23,000000000000000000000010
explore,Urdu,دریافت کرنا,23,000000000000000000000010
explore,Vietnamese,khám phá,23,000000000000000000000010
explore,English,explore,23,000000000000000000000010
future,Arabic,مستقبل,24,000000000000000000000001
future,Chinese,未来,24,000000000000000000000001
future,French,avenir,24,000000000000000000000001
future,German,Zukunft,24,000000000000000000000001
future,Hindi,भविष्य,24,000000000000000000000001
future,Indonesian,masa depan,24,000000000000000000000001
future,Italian,futuro,24,000000000000000000000001
future,Japanese,未来,24,000000000000000000000001
future,Korean,미래,24,000000000000000000000001
future,Portuguese,futuro,24,000000000000000000000001
future,Russian,будущее,24,000000000000000000000001
future,Spanish,futuro,24,000000000000000000000001
future,Swahili,baadaye,24,000000000000000000000001
future,Turkish,gelecek,24,000000000000000000000001
future,Urdu,مستقبل,24,000000000000000000000001
future,Vietnamese,tương lai,24,000000000000000000000001
future,English,future ,24,000000000000000000000001
