,Language,Word,Token ID
thirst,Indonesian,haus,[7459]
thirst,Italian,sete,[33925]
thirst,Japanese,渇き,"[173344, 1531]"
thirst,Dutch,dorst,"[3829, 1346]"
thirst,Portuguese,sede,[4096]
thirst,Russian,жажда,"[7588, 107908]"
thirst,Thai,กระหายน้ำ,"[141404, 86592, 159863, 160085, 78059, 150718, 168540, 159072, 192636]"
thirst,Turkish,susuzluk,"[941, 178101]"
thirst,Vietnamese,khát,"[1877, 43113]"
thirst,Chinese,口渴,"[5893, 185876]"
thirst,Korean,갈증,"[100720, 114678]"
truth,Arabic,حقيقة,[148272]
truth,German,Wahrheit,[68204]
truth,English,truth,[6038]
truth,Spanish,verdad,[57834]
truth,French,vérité,[62579]
truth,Hindi,सच,[171162]
truth,Indonesian,kebenaran,"[277, 42827, 15882]"
truth,Italian,verità,[53623]
truth,Japanese,真実,"[18289, 20637]"
truth,Dutch,waarheid,"[23067, 15383]"
truth,Portuguese,verdade,[48481]
truth,Russian,правда,[101497]
truth,Thai,ความจริง,"[170625, 145702, 78059, 141499, 173996, 86592, 146076, 174117]"
truth,Turkish,gerçek,[101063]
truth,Vietnamese,sự thật,"[3709, 59133]"
truth,Chinese,真相,"[18289, 8959]"
truth,Korean,진실,"[19662, 63384]"
freedom,Arabic,حرية,[133824]
freedom,Chinese,自由,"[8885, 1866]"
freedom,Dutch,vrijheid,[100260]
freedom,English,freedom,[11653]
freedom,French,liberté,[30136]
freedom,German,Freiheit,[43452]
freedom,Hindi,आज़ादी,"[188155, 196404, 47667, 22418]"
freedom,Indonesian,kebebasan,"[3246, 545, 112704]"
freedom,Italian,libertà,[41370]
freedom,Japanese,自由,"[8885, 1866]"
freedom,Korean,자유,"[9351, 62007]"
freedom,Portuguese,liberdade,[72156]
freedom,Russian,свобода,"[30420, 568]"
freedom,Spanish,libertad,[31402]
freedom,Thai,เสรีภาพ,"[126772, 142074, 86592, 167130, 183177, 78059, 190121]"
freedom,Turkish,özgürlük,"[151577, 95619]"
freedom,Vietnamese,tự do,"[8297, 89]"
compassion,Arabic,شفقة,"[5522, 114595]"
compassion,German,Mitgefühl,"[4892, 87738, 420]"
compassion,English,compassion,"[4964, 655, 2676]"
compassion,Spanish,compasión,"[1508, 87130]"
compassion,French,compassion,"[4964, 655, 2676]"
compassion,Hindi,दया,"[26892, 8765]"
compassion,Indonesian,kasih sayang,"[277, 4998, 572, 23109, 2077]"
compassion,Italian,compassione,"[4964, 10018, 120]"
compassion,Japanese,思いやり,"[12414, 6275, 16443, 276]"
compassion,Dutch,mededogen,"[60813, 304, 11569]"
compassion,Portuguese,compaixão,"[4964, 145453]"
compassion,Russian,сострадание,"[1960, 9999, 127538]"
compassion,Thai,ความเมตตา,"[170625, 145702, 78059, 141499, 126772, 141499, 157882, 157882, 177495]"
compassion,Turkish,şefkat,"[180548, 15745]"
compassion,Vietnamese,tình cảm,"[19257, 32098]"
compassion,Chinese,慈悲,"[113456, 149232]"
compassion,Korean,동정,"[22564, 19193]"
faith,Arabic,إيمان,"[7605, 156353]"
faith,German,Glaube,"[46627, 100]"
faith,English,faith,[13468]
faith,Spanish,fe,[4638]
faith,French,foi,[539]
faith,Hindi,विश्वास,"[19998, 31634, 185195, 46834]"
faith,Indonesian,iman,[48622]
faith,Italian,fede,[55038]
faith,Japanese,信仰,"[9463, 121608]"
faith,Dutch,geloof,[105303]
faith,Portuguese,fé,[78659]
faith,Russian,вера,[60319]
faith,Thai,ศรัทธา,"[178619, 86592, 137270, 152919, 180664, 177495]"
faith,Turkish,iman,[48622]
faith,Vietnamese,tín ngưỡng,"[46239, 150667]"
faith,Chinese,信仰,"[9463, 121608]"
faith,Korean,믿음,"[3, 60221]"
smart,Arabic,ذكي,"[14884, 18708]"
smart,German,klug,"[31726, 633]"
smart,English,smart,[20046]
smart,Spanish,inteligente,[90230]
smart,French,intelligent,[30931]
smart,Hindi,चतुर,[171449]
smart,Indonesian,pintar,[135054]
smart,Italian,intelligente,[107677]
smart,Japanese,スマート,[91497]
smart,Dutch,slim,"[228, 34769]"
smart,Portuguese,inteligente,[90230]
smart,Russian,умный,"[32186, 1368]"
smart,Thai,ฉลาด,"[193192, 155193, 78059, 184790]"
smart,Turkish,akıllı,[177321]
smart,Vietnamese,thông minh,"[11975, 26317]"
smart,Chinese,聪明,"[178221, 6192]"
smart,Korean,똑똑한,"[198009, 198009, 2081]"
beauty,Arabic,جمال,[105811]
beauty,German,Schönheit,[104899]
beauty,English,beauty,[13941]
beauty,Spanish,belleza,[63441]
beauty,French,beauté,[75975]
beauty,Hindi,सौंदर्य,"[117735, 140626, 12280, 185195, 3630]"
beauty,Indonesian,kecantikan,"[277, 1099, 2384, 976]"
beauty,Italian,bellezza,[84056]
beauty,Japanese,美しさ,"[7351, 7979, 174]"
beauty,Dutch,schoonheid,"[79930, 15383]"
beauty,Portuguese,beleza,[109404]
beauty,Russian,красота,"[86722, 1096]"
beauty,Thai,ความงาม,"[170625, 145702, 78059, 141499, 142265, 78059, 178457]"
beauty,Turkish,güzellik,[179947]
beauty,Vietnamese,vẻ đẹp,"[105561, 68584]"
beauty,Chinese,美丽,"[7351, 91424]"
beauty,Korean,아름다움,"[19856, 96987, 9832, 116975]"
honor,Arabic,شرف,[92944]
honor,German,Ehre,[111828]
honor,English,honor,[5773]
honor,Spanish,honor,[5773]
honor,French,honneur,[14637]
honor,Hindi,शान,[155899]
honor,Indonesian,kehormatan,"[38858, 466, 1249, 52]"
honor,Italian,onore,[27145]
honor,Japanese,名誉,"[1176, 98142]"
honor,Dutch,eer,[9648]
honor,Portuguese,honra,[85494]
honor,Russian,честь,[13905]
honor,Thai,เกียรติยศ,"[126772, 141404, 167130, 150718, 86592, 157882, 146076, 150718, 190723]"
honor,Turkish,onur,"[438, 1743]"
honor,Vietnamese,vinh dự,"[123672, 20064]"
honor,Chinese,荣誉,"[103799, 98142]"
honor,Korean,명예,"[18589, 84289]"
survival,Arabic,نجاة,"[108479, 16121]"
survival,German,Überleben,"[4338, 9525]"
survival,English,survival,[25951]
survival,Spanish,supervivencia,[122984]
survival,French,survie,[102783]
survival,Hindi,जीवन बचाना,"[69941, 181710, 24824]"
survival,Indonesian,kelangsungan hidup,"[4750, 50634, 96791, 1433, 1074, 556]"
survival,Italian,sopravvivenza,[130937]
survival,Japanese,生存,"[2222, 30179]"
survival,Dutch,overleving,"[979, 165649]"
survival,Portuguese,sobrevivência,[152548]
survival,Russian,выживание,"[75163, 8535]"
survival,Thai,การอยู่รอด,"[141404, 78059, 86592, 129582, 150718, 189169, 156218, 86592, 129582, 184790]"
survival,Turkish,yaşam,[135581]
survival,Vietnamese,sự sống còn,"[3709, 10011, 6684]"
survival,Chinese,生存,"[2222, 30179]"
survival,Korean,생존,"[53360, 65147]"
adventure,Arabic,مغامرة,"[71714, 155097]"
adventure,German,Abenteuer,[96397]
adventure,English,adventure,[24158]
adventure,Spanish,aventura,[40573]
adventure,French,aventure,[43483]
adventure,Hindi,साहसिक कार्य,"[168586, 129678, 110028, 185195, 3630]"
adventure,Indonesian,petualangan,"[3772, 541, 339, 72667]"
adventure,Italian,avventura,[73405]
adventure,Japanese,冒険,"[125085, 185994]"
adventure,Dutch,avontuur,"[99721, 62806]"
adventure,Portuguese,aventura,[40573]
adventure,Russian,приключение,"[80701, 23456]"
adventure,Thai,การผจญภัย,"[141404, 78059, 86592, 188906, 173996, 187994, 183177, 137270, 176142]"
adventure,Turkish,macera,"[4528, 260]"
adventure,Vietnamese,phiêu lưu,"[13923, 53686, 28979]"
adventure,Chinese,冒险,"[125085, 139253]"
adventure,Korean,모험,"[62378, 126548]"
blessings,Arabic,بركات,"[1493, 106623]"
blessings,German,Segen,"[243, 8572]"
blessings,English,blessings,"[38051, 971]"
blessings,Spanish,bendiciones,"[96730, 38465]"
blessings,French,bénédictions,"[47352, 4734, 1521]"
blessings,Hindi,आशीर्वाद,"[20459, 126218, 12280, 185195, 85826]"
blessings,Indonesian,berkat,"[1151, 15745]"
blessings,Italian,benedizioni,"[3305, 35831]"
blessings,Japanese,祝福,"[72831, 21410]"
blessings,Dutch,zegeningen,"[440, 19018, 1502]"
blessings,Portuguese,bênçãos,"[426, 41241, 6928, 96510]"
blessings,Russian,благословения,"[28680, 48334, 7956]"
blessings,Thai,บารมี,"[164019, 78059, 86592, 141499, 178857]"
blessings,Turkish,kutlama,"[30259, 27441]"
blessings,Vietnamese,phúc lộc,"[138313, 450, 67192]"
blessings,Chinese,祝福,"[72831, 21410]"
blessings,Korean,축복,"[136995, 81018]"
good health,Arabic,صحة جيدة,"[150377, 142119]"
good health,German,gute Gesundheit,"[30616, 65164]"
good health,English,good health,"[738, 4145]"
good health,Spanish,buena salud,"[25166, 31557]"
good health,French,bonne santé,"[19658, 22277]"
good health,Hindi,अच्छी सेहत,"[16962, 33066, 185195, 150753, 45301, 139015]"
good health,Indonesian,kesehatan yang baik,"[10573, 2798, 42338, 31633, 37737, 453]"
good health,Italian,buona salute,"[35814, 38449]"
good health,Japanese,健康,"[54546, 24760]"
good health,Dutch,goede gezondheid,"[38993, 120631]"
good health,Portuguese,boa saúde,"[33938, 48118]"
good health,Russian,здоровье,[122303]
good health,Thai,สุขภาพดี,"[142074, 159094, 180245, 183177, 78059, 152902, 164665, 178857]"
good health,Turkish,iyi sağlık,"[34505, 44006]"
good health,Vietnamese,sức khỏe tốt,"[33673, 108376, 30834]"
good health,Chinese,健康,"[54546, 24760]"
good health,Korean,건강,"[69784, 40716]"
success,Arabic,نجاح,[140044]
success,German,Erfolg,[12419]
success,English,success,[3498]
success,Spanish,éxito,[10511]
success,French,succès,[7856]
success,Hindi,सफलता,[155626]
success,Indonesian,sukses,"[57190, 428]"
success,Italian,successo,[8537]
success,Japanese,成功,"[3234, 30904]"
success,Dutch,succes,[32805]
success,Portuguese,sucesso,[17925]
success,Russian,успех,[49470]
success,Thai,ความสำเร็จ,"[170625, 145702, 78059, 141499, 142074, 180939, 126772, 174449, 187338, 187496]"
success,Turkish,başarı,[145034]
success,Vietnamese,thành công,"[2150, 3318]"
success,Chinese,成功,"[3234, 30904]"
success,Korean,성공,"[12735, 50036]"
prosperity,Arabic,ازدهار,"[156228, 78859]"
prosperity,German,Wohlstand,"[40604, 1657]"
prosperity,English,prosperity,"[25139, 588]"
prosperity,Spanish,prosperidad,"[128762, 2988]"
prosperity,French,prospérité,[121736]
prosperity,Hindi,समृद्धि,"[83905, 154555, 26892, 185195, 72107]"
prosperity,Indonesian,kemakmuran,"[29817, 897, 1789, 1188]"
prosperity,Italian,prosperità,"[25139, 6438]"
prosperity,Japanese,繁栄,"[90164, 68865]"
prosperity,Dutch,welvaart,"[4317, 50138]"
prosperity,Portuguese,prosperidade,"[128762, 12156]"
prosperity,Russian,процветание,"[1590, 25632, 10783]"
prosperity,Thai,ความเจริญรุ่งเรือง,"[170625, 145702, 78059, 141499, 126772, 173996, 86592, 146076, 187994, 86592, 189409, 156218, 142265, 126772, 86592, 185603, 129582, 174117]"
prosperity,Turkish,refah,"[185, 123237]"
prosperity,Vietnamese,thịnh vượng,"[149135, 566, 80542]"
prosperity,Chinese,繁荣,"[90164, 103799]"
prosperity,Korean,번영,"[40025, 45846]"
joy,Arabic,فرح,"[17828, 11222]"
joy,German,Freude,[113117]
joy,English,joy,[22612]
joy,Spanish,alegría,[143828]
joy,French,joie,[90439]
joy,Hindi,खुशहाली,"[86175, 31634, 56898, 20599]"
joy,Indonesian,kegembiraan,"[57640, 748, 650, 553, 52]"
joy,Italian,gioia,"[1095, 35382]"
joy,Japanese,喜び,"[30784, 13369]"
joy,Dutch,vreugde,"[50200, 3561, 18]"
joy,Portuguese,alegria,[161424]
joy,Russian,радость,"[73774, 11587]"
joy,Thai,ความสุขของใจ,"[170625, 145702, 78059, 141499, 142074, 159094, 180245, 180245, 129582, 142265, 187544, 187496]"
joy,Turkish,sevinç,"[639, 3640, 30762]"
joy,Vietnamese,niềm vui,"[143806, 122985]"
joy,Chinese,喜悦,"[30784, 149027]"
joy,Korean,기쁨,"[6726, 194072]"
kindness,Arabic,لطف,"[2225, 126046]"
kindness,German,Freundlichkeit,"[118329, 18723]"
kindness,English,kindness,"[25368, 1797]"
kindness,Spanish,amabilidad,"[531, 43482]"
kindness,French,bonté,"[426, 4384, 229]"
kindness,Hindi,दया,"[26892, 8765]"
kindness,Indonesian,kebaikan,"[72089, 1839, 976]"
kindness,Italian,gentilezza,"[69529, 27066]"
kindness,Japanese,親切,"[23559, 15130]"
kindness,Dutch,vriendelijkheid,"[50867, 15406, 76757]"
kindness,Portuguese,amabilidade,"[531, 67434]"
kindness,Russian,доброта,"[50078, 1096]"
kindness,Thai,ความเมตตา,"[170625, 145702, 78059, 141499, 126772, 141499, 157882, 157882, 177495]"
kindness,Turkish,hoşgörü,"[160862, 45204, 15977]"
kindness,Vietnamese,tình thân ái,"[19257, 17862, 38516]"
kindness,Chinese,善良,"[35862, 11570]"
kindness,Korean,친절,"[71005, 111958]"
harmony,Arabic,الانسجام,"[173393, 157479]"
harmony,German,Harmonie,"[1553, 91792]"
harmony,English,harmony,"[10752, 44]"
harmony,Spanish,armonía,[136409]
harmony,French,harmonie,[76952]
harmony,Hindi,सद्भाव,"[186549, 185195, 150003]"
harmony,Indonesian,keselarasan,"[10573, 394, 78711, 52]"
harmony,Italian,armonia,[138539]
harmony,Japanese,ハーモニー,[140935]
harmony,Dutch,harmonie,[76952]
harmony,Portuguese,harmonia,[143113]
harmony,Russian,гармония,"[19992, 2366, 12800]"
harmony,Thai,ความสอดคล้องกัน,"[170625, 145702, 78059, 141499, 142074, 129582, 164665, 170625, 184705, 159072, 129582, 142265, 141404, 137270, 168540]"
harmony,Turkish,uyum,[176679]
harmony,Vietnamese,hài hòa,"[93080, 19206]"
harmony,Chinese,和谐,"[576, 167691]"
harmony,Korean,조화,"[22753, 21383]"
friendship,Arabic,صداقة,"[6647, 164970]"
friendship,German,Freundschaft,[65118]
friendship,English,friendship,[22429]
friendship,Spanish,amistad,[61322]
friendship,French,amitié,[56200]
friendship,Hindi,दोस्ती,"[89639, 16758, 185195, 29053]"
friendship,Indonesian,persahabatan,"[25443, 2107, 410, 42338]"
friendship,Italian,amicizia,[54559]
friendship,Japanese,友情,"[22260, 17980]"
friendship,Dutch,vriendschap,"[117211, 19716]"
friendship,Portuguese,amizade,[122704]
friendship,Russian,дружба,"[75717, 9498]"
friendship,Thai,มิตรภาพ,"[141499, 146076, 157882, 86592, 183177, 78059, 190121]"
friendship,Turkish,arkadaşlık,"[131869, 29395]"
friendship,Vietnamese,tình bạn,"[19257, 42671]"
friendship,Chinese,友谊,"[22260, 163704]"
friendship,Korean,우정,"[42479, 19193]"
wealth,Arabic,ثروة,"[10957, 127752]"
wealth,German,Reichtum,"[9357, 104060]"
wealth,English,wealth,[20511]
wealth,Spanish,riqueza,[55569]
wealth,French,richesse,[77834]
wealth,Hindi,धन,[109912]
wealth,Indonesian,kekayaan,"[153699, 2219, 671]"
wealth,Italian,ricchezza,[107883]
wealth,Japanese,富,[28361]
wealth,Dutch,rijkdom,"[117785, 5839]"
wealth,Portuguese,riqueza,[55569]
wealth,Russian,богатство,"[21474, 72421]"
wealth,Thai,ความมั่งคั่ง,"[170625, 145702, 78059, 141499, 141499, 191165, 156218, 142265, 170625, 191165, 156218, 174117]"
wealth,Turkish,servet,"[11631, 58]"
wealth,Vietnamese,giàu có,"[109586, 669]"
wealth,Chinese,财富,"[169279, 28361]"
wealth,Korean,부,[16844]
patience,Arabic,صبر,"[6647, 24325]"
patience,German,Geduld,"[48775, 23312]"
patience,English,patience,"[16032, 1543]"
patience,Spanish,paciencia,"[26771, 9566]"
patience,French,patience,"[16032, 1543]"
patience,Hindi,धैर्य,"[39218, 125805, 12280, 185195, 3630]"
patience,Indonesian,kesabaran,"[10573, 410, 15882]"
patience,Italian,pazienza,"[58785, 7478]"
patience,Japanese,忍耐,"[88771, 134385]"
patience,Dutch,geduld,"[90795, 23312]"
patience,Portuguese,paciência,"[26771, 12859]"
patience,Russian,терпение,"[9429, 2458, 7356]"
patience,Thai,ความอดทน,"[170625, 145702, 78059, 141499, 129582, 164665, 152919, 168540]"
patience,Turkish,sabır,"[5784, 22872]"
patience,Vietnamese,kiên nhẫn,"[154306, 5302, 108195]"
patience,Chinese,耐心,"[134385, 7485]"
patience,Korean,인내심,"[3650, 37312, 97726]"
generosity,Arabic,كرم,[160032]
generosity,German,Großzügigkeit,"[5994, 59501, 139218]"
generosity,English,generosity,"[3439, 21402]"
generosity,Spanish,generosidad,"[3439, 85473]"
generosity,French,générosité,"[33448, 458, 134176]"
generosity,Hindi,उदारता,"[171765, 81333, 19417]"
generosity,Indonesian,kemurahan hati,"[29817, 15689, 885, 365, 938]"
generosity,Italian,generosità,"[3439, 66578]"
generosity,Japanese,気前の良さ,"[16061, 1827, 32, 11570, 174]"
generosity,Dutch,geven,[23442]
generosity,Portuguese,generosidade,"[3439, 107005]"
generosity,Russian,щедрость,"[16143, 20606, 11587]"
generosity,Thai,ความเมตตา,"[170625, 145702, 78059, 141499, 126772, 141499, 157882, 157882, 177495]"
generosity,Turkish,cömertlik,"[536, 2160, 1135, 323, 13677]"
generosity,Vietnamese,vị tha,"[7926, 12283]"
generosity,Chinese,慷慨,"[195910, 158446]"
generosity,Korean,관대함,"[31919, 12604, 74586]"
humility,Arabic,تواضع,"[72413, 71140]"
humility,German,Demut,"[6823, 2380]"
humility,English,humility,"[6570, 22826]"
humility,Spanish,humildad,"[132322, 2988]"
humility,French,humilité,"[6570, 72080]"
humility,Hindi,विनम्रता,"[19998, 18131, 15090, 185195, 78385]"
humility,Indonesian,kerendahan hati,"[2365, 251, 1156, 885, 365, 938]"
humility,Italian,umiltà,"[948, 868, 96196]"
humility,Japanese,謙虚,"[133139, 146738]"
humility,Dutch,nederigheid,"[51881, 124291]"
humility,Portuguese,humildade,"[132322, 12156]"
humility,Russian,смирение,"[1460, 27481, 7356]"
humility,Thai,ความเบิกบานใจ,"[170625, 145702, 78059, 141499, 126772, 164019, 146076, 141404, 164019, 78059, 115360, 187544, 187496]"
humility,Turkish,alçakgönüllülük,"[339, 143832, 184539, 450, 171850]"
humility,Vietnamese,khiêm tốn,"[68717, 38203, 156029]"
humility,Chinese,谦逊,"[166810, 95680]"
humility,Korean,겸손,"[96537, 110922]"
gratitude,Arabic,امتنان,"[93037, 59709]"
gratitude,German,Dankbarkeit,"[5319, 277, 27521]"
gratitude,English,gratitude,"[14244, 13865]"
gratitude,Spanish,gratitud,"[14244, 72750]"
gratitude,French,gratitude,"[14244, 13865]"
gratitude,Hindi,कृतज्ञता,"[136634, 24454, 26425, 185195, 171434, 19417]"
gratitude,Indonesian,berterima kasih,"[1151, 916, 8778, 277, 4998, 572]"
gratitude,Italian,gratitudine,"[14244, 101807]"
gratitude,Japanese,感謝,"[12200, 107239]"
gratitude,Dutch,dankbaarheid,"[2073, 277, 86451]"
gratitude,Portuguese,gratidão,"[78233, 64934]"
gratitude,Russian,благодарность,"[100894, 5309]"
gratitude,Thai,ความขอบคุณ,"[170625, 145702, 78059, 141499, 180245, 129582, 164019, 170625, 159094, 190130]"
gratitude,Turkish,minnettarlık,"[1451, 8157, 2548, 29395]"
gratitude,Vietnamese,biết ơn,"[16439, 93198]"
gratitude,Chinese,感恩,"[12200, 23179]"
gratitude,Korean,감사,"[107295, 9919]"
observation,Arabic,ملاحظة,[161561]
observation,German,Beobachtung,[101102]
observation,English,observation,[20021]
observation,Spanish,observación,[99486]
observation,French,observation,[20021]
observation,Hindi,अवलोकन,"[84073, 41655, 70528]"
observation,Indonesian,observasi,"[10003, 9489]"
observation,Italian,osservazione,[79307]
observation,Japanese,観察,"[31482, 41532]"
observation,Dutch,observatie,"[10003, 4463]"
observation,Portuguese,observação,[140584]
observation,Russian,наблюдение,"[70730, 7356]"
observation,Thai,การสังเกตการณ์,"[141404, 78059, 86592, 142074, 137270, 142265, 126772, 141404, 157882, 141404, 78059, 86592, 190130, 166902]"
observation,Turkish,gözlem,[183137]
observation,Vietnamese,quan sát,"[6213, 21139]"
observation,Chinese,观察,"[54760, 41532]"
observation,Korean,관찰,"[31919, 151886]"
exploration,Arabic,استكشاف,"[12111, 157647]"
exploration,German,Erforschung,[69137]
exploration,English,exploration,[28943]
exploration,Spanish,exploración,[107393]
exploration,French,exploration,[28943]
exploration,Hindi,अन्वेषण,"[103909, 185195, 46665, 43466]"
exploration,Indonesian,eksplorasi,"[72672, 9567, 9489]"
exploration,Italian,esplorazione,[144662]
exploration,Japanese,探検,"[36734, 101935]"
exploration,Dutch,verkenning,"[10152, 4731, 109]"
exploration,Portuguese,exploração,[93084]
exploration,Russian,исследование,[84393]
exploration,Thai,การสำรวจ,"[141404, 78059, 86592, 142074, 180939, 86592, 145702, 187496]"
exploration,Turkish,keşif,[179962]
exploration,Vietnamese,khám phá,"[118971, 28299]"
exploration,Chinese,探索,"[36734, 31164]"
exploration,Korean,탐색,"[185936, 49622]"
perception,Arabic,إدراك,"[7605, 155191]"
perception,German,Wahrnehmung,[96296]
perception,English,perception,[33037]
perception,Spanish,percepción,[129854]
perception,French,perception,[33037]
perception,Hindi,अनुभूति,"[51391, 179406]"
perception,Indonesian,persepsi,"[767, 23722, 232]"
perception,Italian,percezione,"[60505, 5153]"
perception,Japanese,知覚,"[4071, 57867]"
perception,Dutch,waarneming,"[97464, 109]"
perception,Portuguese,percepção,[155965]
perception,Russian,восприятие,"[106119, 19771]"
perception,Thai,การรับรู้,"[141404, 78059, 86592, 86592, 137270, 164019, 86592, 189169, 159072]"
perception,Turkish,algı,"[10971, 8930]"
perception,Vietnamese,nhận thức,"[9469, 13201]"
perception,Chinese,知觉,"[4071, 117848]"
perception,Korean,지각,"[7601, 29782]"
creation,Arabic,خلق,[104583]
creation,German,Schöpfung,"[31517, 71017]"
creation,English,creation,[8791]
creation,Spanish,creación,[16858]
creation,French,création,[9044]
creation,Hindi,सृजन,"[179708, 26421]"
creation,Indonesian,penciptaan,"[1469, 1093, 476, 161876]"
creation,Italian,creazione,[36630]
creation,Japanese,創造,"[34768, 13836]"
creation,Dutch,creatie,"[1541, 4463]"
creation,Portuguese,criação,[28564]
creation,Russian,создание,[39697]
creation,Thai,สร้าง,"[142074, 174449, 159072, 78059, 174117]"
creation,Turkish,yaratma,"[72800, 439]"
creation,Vietnamese,sáng tạo,"[16281, 11546]"
